sitename1,sitename2,sitename3,sponsorname1,sponsorname2,sponsorname3
37 ECB,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
A.B & JESSIE POLINSKY CHILDREN'S CENTER,,,,SAN DIEGO COUNTY DEPT. OF SOCIAL SERVICES,
ABRAXAS CONTINUATION HIGH,,,POWAY UNIFIED,POWAY UNIFIED,
ADA W. HARRIS ELEMENTARY,,,CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,
ADAMS ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ADOBE BLUFFS ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
ALAMOSA PARK ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
ALBA,ALBA-ANNEX,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,,SAN DIEGO UNIFIED,ALBERT EINSTEIN ACADEMIES,
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,,,SAN DIEGO UNIFIED,ALBERT EINSTEIN ACADEMIES,
ALBERT EINSTEIN ACADEMY ELEMENTARY,,,,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - AGUA DULC",,,,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS & SCIENCES - ODYSSEY",,,,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",
"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS AND SCIENCES",,,,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ARTS SCIENCES (AEALAS)",
ALCOTT ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ALL TRIBES CHARTER,,,WARNER UNIFIED,,
ALL TRIBES ELEMENTARY CHARTER,,,WARNER UNIFIED,,
ALLEN (ELLA B.) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
ALPINE ELEMENTARY,,,ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,
ALTA VISTA ACADEMY,,,SWEETWATER UNION HIGH,,
ALTA VISTA HIGH (CONTINUATION),,,VISTA UNIFIED,VISTA UNIFIED,
ALVIN M. DUNN ELEMENTARY,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
AMERICA'S FINEST CHARTER,,,SAN DIEGO UNIFIED,AMERICA'S FINEST CHARTER  SCHOOL,
ANGIER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ANZA ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
ARROYO PASEO CHARTER HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ARROYO VISTA CHARTER,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
ASELTINE,ASELTINE SCHOOL,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ASHLEY FALLS ELEMENTARY,,,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,
AUDEO CHARTER,,,SAN DIEGO UNIFIED,,
AUDEO CHARTER II,,,SBE - AUDEO CHARTER II,,
AUDUBON K-8,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
AUTUMN,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
AVIARA OAKS ELEMENTARY,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
AVIARA OAKS MIDDLE,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
AVOCADO ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
AVONDALE ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
BAKER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BALBOA CITY SCHOOL-ANNEX,,,,SAN DIEGO UNIFIED,
BALBOA ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BANCROFT ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
BANDINI ELEMENTARY,EMERSON/BANDINI ELEMENTARY,,,SAN DIEGO UNIFIED,
BANDINI PRIMARY,EMERSON/BANDINI ELEMENTARY,,,SAN DIEGO UNIFIED,
BARNARD ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BARNETT ELEMENTARY,,,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,
BARRETT,,,,SAN DIEGO CO PROBATION DEPT,
BAY PARK ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BAY POINT PRE K,,,,SAN DIEGO UNIFIED,
BAYSHORE PREPARATORY CHARTER,,,SAN MARCOS UNIFIED,,
BAYSIDE BLENDED COMMUNITY SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
BAYSIDE ELEMENTARY,,,SOUTH BAY UNION,,
BAYSIDE STEAM ACADEMY,,,SOUTH BAY UNION,SOUTH BAY UNION,
BAYVIEW CDC,,,,SAN DIEGO UNIFIED,
BEACON CLASSICAL ACADEMY NATIONAL CITY,BEACON CLASSICAL ACADEMY NATIONAL CITY,,NATIONAL ELEMENTARY,"BEACON CLASSICAL ACADEMY, INC.",
BEAR VALLEY MIDDLE,,,ESCONDIDO UNION,ESCONDIDO UNION,
BEAUMONT ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
BELL MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BELLA MENTE MONTESSORI ACADEMY,BELLA MENTE MONTESSORI ACADEMY,,VISTA UNIFIED,BELLA MENTE CHARTER SCHOOL,
BENCHLEY/WEINBERGER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BERNARDO ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
BERNARDO HEIGHTS MIDDLE,,,POWAY UNIFIED,POWAY UNIFIED,
BETHUNE K-8,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BIRD ROCK ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BIRNEY ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BLACK MOUNTAIN MIDDLE,,,POWAY UNIFIED,POWAY UNIFIED,
BLESSED SACRAMENT ELEMENTARY,,,,GROSSMONT UNION HIGH,
BLOSSOM VALLEY ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
BOBIER ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
BONITA VISTA MIDDLE,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
BONITA VISTA SENIOR HIGH,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
BONSALL ELEMENTARY,,,BONSALL UNIFIED,BONSALL UNION ELEMENTARY,
BONSALL HIGH,,,BONSALL UNIFIED,BONSALL UNIFIED,
BONSALL WEST ELEMENTARY,,,BONSALL UNIFIED,BONSALL UNION ELEMENTARY,
BOONE ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
BORREGO SPRINGS ELEMENTARY,,,BORREGO SPRINGS UNIFIED,BORREGO SPRINGS UNIFIED,
BORREGO SPRINGS HIGH,,,BORREGO SPRINGS UNIFIED,BORREGO SPRINGS UNIFIED,
BORREGO SPRINGS MIDDLE,,,BORREGO SPRINGS UNIFIED,BORREGO SPRINGS UNIFIED,
BOSTONIA ELEMENTARY,BOSTONIA LANGUAGE ACADEMY,,CAJON VALLEY UNION,CAJON VALLEY UNION,
BOULDER OAKS ELEMENTARY,,,ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,
BREEZE HILL ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
BROOKLYN CDC,,,,SAN DIEGO UNIFIED,
BUENA VISTA ELEMENTARY,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
BURBANK ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CABRILLO ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CADMAN ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CAJON PARK ELEMENTARY,,,SANTEE,SANTEE,
CAJON VALLEY MIDDLE,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
CALAVERA HILLS ELEMENTARY,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
CALAVERA HILLS MIDDLE,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
CALIFORNIA AVENUE ELEMENTARY,,,VISTA UNIFIED,,
CALIFORNIA PACIFIC CHARTER - SAN DIEGO,,,WARNER UNIFIED,,
CALIFORNIA PACIFIC CHARTER SCHOOLS - SAN DIEGO,,,WARNER UNIFIED,,
CALIFORNIA VIRTUAL ACADEMY @ SAN DIEGO,,,SPENCER VALLEY ELEMENTARY,,
CALVIN CHRISTIAN,,,,CALVIN CHRISTIAN SCHOOL,
CALVIN CHRISTIAN SCHOOL -ANNEX,,,,CALVIN CHRISTIAN SCHOOL,
CAMARENA (ENRIQUE S.) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
CAMP CUYAMACA,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
CAMP LOCKETT MIDDLE,,,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,
CAMPO ELEMENTARY,,,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,
CAMPO HEADSTART CENTER,,,,MOUNTAIN EMPIRE UNIFIED,
CAMPO HIGH (CONTINUATION),,,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,
CANYON CREST ACADEMY,,,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,
CANYON VIEW ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
CAPRI ELEMENTARY,,,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,
CARDIFF ELEMENTARY,,,CARDIFF ELEMENTARY,CARDIFF ELEMENTARY,
CARLSBAD HIGH,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
CARLSBAD VILLAGE ACADEMY,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
CARLTON HILLS ELEMENTARY,,,SANTEE,SANTEE,
CARLTON OAKS ELEMENTARY,,,SANTEE,SANTEE,
CARMEL CREEK ELEMENTARY,,,SOLANA BEACH ELEMENTARY,SOLANA BEACH ELEMENTARY,
CARMEL DEL MAR ELEMENTARY,,,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,
CARMEL VALLEY MIDDLE,,,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,
CARRILLO ELEMENTARY,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
CARSON ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CARVER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CASA DE ORO ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
CASILLAS (JOSEPH) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
CASITA CENTER FOR SCIENCE/MATH/TECHNOLOGY,,,VISTA UNIFIED,VISTA UNIFIED,
CASTLE PARK ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
CASTLE PARK MIDDLE,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
CASTLE PARK SENIOR HIGH,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
CENTER FOR POSITIVE CHANGES,,,,CENTER FOR POSITIVE CHANGES INC.,
CENTER FOR POSITIVE CHANGES 5,,,,CENTER FOR POSITIVE CHANGES INC.,
CENTER FOR POSITIVE CHANGES II,,,,CENTER FOR POSITIVE CHANGES INC.,
CENTER FOR POSITIVE CHANGES III-ANNEX,,,,CENTER FOR POSITIVE CHANGES INC.,
CENTRAL ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
CENTRAL ELEMENTARY,,,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,
CENTRAL ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CENTRAL ELEMENTARY,,,SOUTH BAY UNION,SOUTH BAY UNION,
CENTRAL PRESCHOOL,,,,ESCONDIDO UNION,
CESAR CHAVEZ MIDDLE,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
CHALLENGER MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CHAPARRAL ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
CHAPARRAL HIGH,,,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,
CHARTER SCHOOL OF SAN DIEGO,,,SAN DIEGO UNIFIED,,
CHASE AVENUE ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
CHAVEZ ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CHEROKEE POINT ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CHESTERTON ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CHET F. HARRITT ELEMENTARY,,,SANTEE,SANTEE,
CHILDREN'S WORKSHOP,,,,SAN DIEGO UNIFIED,
CHOICE COMMUNITY SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
CHOLLAS/MEAD ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CHRISTA MCAULIFFE ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
CHULA VISTA HILLS ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
CHULA VISTA LEARNING COMMUNITY CHARTER,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
CHULA VISTA MIDDLE,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
CHULA VISTA SENIOR HIGH,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
CIRCLE OF FRIENDS,,,,CIRCLE OF FRIENDS,
CIRCLE OF FRIENDS II,,,,CIRCLE OF FRIENDS,
CITY HEIGHTS PREPARATORY CHARTER,,,SAN DIEGO UNIFIED,,
CITY HEIGHTS PREPARATORY CHARTER,,,,CITY HEIGHTS PREPARATORY CHARTER SCHOOL,
CLAIR W. BURGENER ACADEMY,,,,OCEANSIDE UNIFIED,
CLAIREMONT HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CLARK MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CLAY ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CLEAR VIEW,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
CLOVER FLAT ELEMENTARY,,,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,
COL. SALOMON CDC,,,,SAN DIEGO UNIFIED,
COLEMAN TECH CHARTER HIGH,,,SAN DIEGO UNIFIED,,
COLLEGE PREPARATORY MIDDLE,COLLEGE PREPARATORY MIDDLE - LA MESA SPRING VALLEY,,MOUNTAIN EMPIRE UNIFIED,LA MESA-SPRING VALLEY,SBE - COLLEGE PREPARATORY MIDDLE - LA MESA SPRING VALLEY
COLLEGE PREPARATORY MIDDLE - EAST COUNTY,,,MOUNTAIN EMPIRE UNIFIED,GROSSMONT UNION HIGH,
COLLEGE PREPARATORY MIDDLE SCHOOL,,,,GROSSMONT UNION HIGH,
CONWAY ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
CONWAY PRESCHOOL,,,,ESCONDIDO UNION,
COOK (HAZEL GOES) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
COOK EDUCATION CENTER,,,,SAN DIEGO UNIFIED,
CORONADO HIGH,,,CORONADO UNIFIED,CORONADO UNIFIED,
CORONADO MIDDLE,,,CORONADO UNIFIED,CORONADO UNIFIED,
CORONADO VILLAGE ELEMENTARY,,,CORONADO UNIFIED,CORONADO UNIFIED,
CORREIA MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
COTTONWOOD COMMUNITY DAY,,,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,
CRAWFORD HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CREATIVE PERFORMING AND MEDIA ARTS,,,,SAN DIEGO UNIFIED,
"CREATIVE, PERFORMING, AND MEDIA ARTS",,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CREEKSIDE EARLY LEARNING CENTER,,,ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,
CREEKSIDE ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
CREST ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
CROWN POINT ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CTEC INDEPENDENT STUDY,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
CUBBERLEY ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CURIE ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
CUYAMACHA PREP COMMUNITY SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
DAILARD ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
DANA,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
DARNALL CHARTER,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
DE PORTOLA MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
DEER CANYON ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
DEHESA ELEMENTARY,,,DEHESA ELEMENTARY,DEHESA ELEMENTARY,
DEL DIOS ACADEMY OF ARTS AND SCIENCES,,,ESCONDIDO UNION,ESCONDIDO UNION,
DEL LAGO ACADEMY - CAMPUS OF APPLIED SCIENCE,,,ESCONDIDO UNION HIGH,ESCONDIDO UNION HIGH,
DEL MAR HEIGHTS ELEMENTARY,,,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,
DEL MAR HILLS ELEMENTARY,,,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,
DEL NORTE HIGH,,,POWAY UNIFIED,POWAY UNIFIED,
DEL RIO ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
DEL SUR ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
DESCANSO ELEMENTARY,,,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,
DESIGN 39 CAMPUS,,,POWAY UNIFIED,POWAY UNIFIED,
DEWEY CDC,,,,SAN DIEGO UNIFIED,
DEWEY ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
DIEGUENO MIDDLE,,,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,
DINGEMAN ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
DISCOVERY CHARTER,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
DISCOVERY ELEMENTARY,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
DISTRICT OFFICE,,,SWEETWATER UNION HIGH,,
SAN DIEGUITO HS ACADEMY,SAN DIEGUITO HIGH ACADEMY,,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,
HIGH TECH HIGH NORTH COUNTY,HIGH TECH HIGH NORTH COUNTY-ANNEX,,SBC - HIGH TECH HIGH,SAN MARCOS UNIFIED,
BREAKING CYCLES,,,,SAN MARCOS UNIFIED,
LA MIRADA ACADEMY,,,,SAN MARCOS UNIFIED,
NORTH REGION COMMUNITY DAY SCHOOLS,,,,SAN MARCOS UNIFIED,
TEEN OUTREACH NORTH,,,,SAN MARCOS UNIFIED,
PROSPECT PRESCHOOL,,,,SANTEE,
INDIAN HILLS CAMP,,,,SHILOAH SPRINGS BIBLE RETREAT,
HIGH TECH MIDDLE CHULA VISTA,HIGH TECH MIDDLE CHULA VISTA,,SBC - HIGH TECH HIGH,SOUTH BAY UNION,
HIGH TECH HIGH SCHOOL-CHULA VISTA,HIGH TECH HIGH CHULA VISTA,,SBC - HIGH TECH HIGH,SOUTH BAY UNION,HIGH TECH HIGH CHARTER SCHOOL
VIP VILLAGE PRESCHOOL,,,,SOUTH BAY UNION,
WEST VIEW EARLY LEARNING CENTER,,,,SOUTH BAY UNION,
ST. DIDACUS  SCHOOL,,,,ST DIDACUS SCHOOL,
ST. DIDACUS PARISH SCHOOL,,,,ST DIDACUS SCHOOL,
ST. MICHAEL'S SCHOOL,,,,ST MICHAELS SCHOOL,
ST. PATRICK CATHOLIC SCHOOL,,,,ST PATRICKS SCHOOL,
ST. PATRICK'S ELEMENTARY,,,,ST PATRICKS SCHOOL,
ST. RITA'S SCHOOL,,,,ST RITAS SCHOOL,
MONTGOMERY ADULT,MONTGOMERY SENIOR HIGH,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
"STEPHEN W. HAWKING II SCIENCE, TECHNOLOGY, ENGINEERING, ART AND ","STEPHEN W. HAWKING II SCIENCE, TECHNOLOGY, ENGINEERING, ART AND MATH CHARTER",,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
CHULA VISTA COMMUNITY,,,,SWEETWATER UNION HIGH,
COMMUNITY DAY SCHOOL,,,,SWEETWATER UNION HIGH,
COMMUNITY YOUTH ATHLETICS CENTER,,,,SWEETWATER UNION HIGH,
SAILS,,,,SWEETWATER UNION HIGH,
SAN YSIDRO ADULT EDUCATION CENTER,,,,SWEETWATER UNION HIGH,
SOUTH BAY COMMUNITY SCHOOL,,,,SWEETWATER UNION HIGH,
SOUTH REGION COMMUNITY DAY SCHOOLS,,,,SWEETWATER UNION HIGH,
STEP PROGRAM,,,,SWEETWATER UNION HIGH,
VICTORIA COMMUNITY SCHOOL,,,,SWEETWATER UNION HIGH,
THRIVE PUBLIC,THRIVE PUBLIC,,SBE - THRIVE PUBLIC,THRIVE PUBLIC SCHOOLS,
THRIVE PUBLIC SCHOOLS - HIGH SCHOOL,,,,THRIVE PUBLIC SCHOOLS,
THRIVE PUBLIC SCHOOLS - JUANITA CAMPUS-ANNEX,,,,THRIVE PUBLIC SCHOOLS,
THRIVE PUBLIC SCHOOLS - KROC CAMPUS-ANNEX,,,,THRIVE PUBLIC SCHOOLS,
VALLEY CENTER ELEMENTARY,VALLEY CENTER ELEMENTARY LOWER,,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,
CALIFORNIA/SP ED,,,,VISTA UNIFIED,
SUMMIT NORTH,,,,VISTA UNIFIED,
T.H.E LEADERSHIP ACADEMY,,,,VISTA UNIFIED,
BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES,,,,VOLUNTEERS OF AMERICA,
BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES - SAN BERNARDINO,,,,VOLUNTEERS OF AMERICA,
CAMP MARSTON,,,,YMCA OF SAN DIEGO COUNTY,
CAMP SURF,,,,YMCA OF SAN DIEGO COUNTY,
NORTH COAST PROJECT OZ,,,,YMCA OF SAN DIEGO COUNTY,
OZ-SAN DIEGO,,,,YMCA OF SAN DIEGO COUNTY,
ENDEAVOUR ACADEMY,,,ALPINE UNION ELEMENTARY,,
MOUNTAIN VIEW LEARNING ACADEMY,,,ALPINE UNION ELEMENTARY,,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,BONSALL UNIFIED,,
PATHWAYS ACADEMY CHARTER,,,BONSALL UNIFIED,,
DIEGO SPRINGS ACADEMY,,,BORREGO SPRINGS UNIFIED,,
JUAN BAUTISTA DE ANZA,,,BORREGO SPRINGS UNIFIED,,
JUAN BAUTISTA DE ANZA CHARTER,,,BORREGO SPRINGS UNIFIED,,
OXFORD PREPARATORY ACADEMY,,,BORREGO SPRINGS UNIFIED,,
PALM CANYON CONTINUATION HIGH,,,BORREGO SPRINGS UNIFIED,,
SAN DIEGO WORKFORCE INNOVATION HIGH,,,BORREGO SPRINGS UNIFIED,,
