Sponsor Name,Site Name,Site Street Address,Site City,Site State,Site Zip,Site Contact,Site Phone,Meal Types,Start Date,End Date,Site Program,Site Type
HEAVEN'S WINDOWS,MT. ERIE BAPTIST CHURCH,511 SO. 47TH STREET,SAN DIEGO,CA,92113,JAMES ROWELL,619-262-0708,B,6/22/2016,9/8/2016,SFSP,OPEN
HEAVEN'S WINDOWS,NEW SEASONS CHURCH,2300 BANCROFT DRIVE,SPRING VALLEY,CA,91977,LYNDA DUKES,619-463-0725,"L, AM",6/20/2016,8/14/2016,SFSP,OPEN
HEAVEN'S WINDOWS,NEW SEASONS EL CAJON,990 NARANCA AVENUE,EL CAJON,CA,92020,LAILA HANNA,619-635-5301,L,6/27/2016,6/27/2016,SFSP,OPEN
HEAVEN'S WINDOWS,NEW VISION CHRISTIAN FELLOWSHIP,4353 PARK BLVD.,SAN DIEGO,CA,92103,DAVID POWELL,619-200-3686,L,7/1/2016,9/8/2016,SFSP,OPEN
HEAVEN'S WINDOWS,PROJECT ACCESS,378 SO. MEADOWBROOK DRIVE,SAN DIEGO,CA,92114,ALEX GARCIA,619-479-9594,"L, PM",6/27/2016,8/26/2016,SFSP,OPEN
HEAVEN'S WINDOWS,REFLECTIONS,8374 HERCULES STREET,LA MESA,CA,91941,DONNA MC MANUS,619-667-6891,PM,7/20/2016,8/14/2016,SFSP,CLOSED
HEAVEN'S WINDOWS,SPRING VALLEY REC CLUB,838 KEMPTON STREET,SPRING VALLEY,CA,91977,CARL MCCULLOUGH,619-667-6839,"L, S, PM",6/20/2016,8/14/2016,SFSP,OPEN
HEAVEN'S WINDOWS,UMI LEARNING CENTER,6157 UNIVERSITY AVENUE,SAN DIEGO,CA,92115,MOHAMED MOHAMED,619-309-6362,"AM, PM",6/16/2016,9/9/2016,SFSP,OPEN
HEAVEN'S WINDOWS,VICTORY OUTREACH,4235 NATIONAL AVENUE,SAN DIEGO,CA,92113,REGINA PITTMAN,619-381-8747,"AM, PM",6/22/2016,9/8/2016,SFSP,OPEN
HEAVEN'S WINDOWS,VISTA LA MESA CHRISTIAN CHURCH,4210 MASSACHUSETTS AVENUE,LA MESA,CA,91941,REBECCA LITTLEJOHN,619-460-7272,L,6/20/2016,8/14/2016,SFSP,OPEN
JAMES E. ALDREDGE FOUNDATION,MT. ERIE CHRISTIAN ACADEMY,504 S. 47TH STREET,SAN DIEGO,CA,92113,KAILYN WELLS,619-263-1914,"B, L",6/22/2016,8/26/2016,SFSP,OPEN
KAREN ORGANIZATION OF SAN DIEGO,KAREN ORGANIZATION OF SAN DIEGO,5354 UNIVERSITY AVE #1,SAN DIEGO,CA,92105,NAO KABASHIMA,619-582-0783,PM,7/19/2016,8/26/2016,SFSP,CLOSED
LA JOLLA BAND OF LUISENO,LA JOLLA BAND OF LUISENO INDIANS,22000 HWY 76,PAUMA VALLEY,CA,92061,KATRINA KEYOITE,760-750-3771 #320 #320,"L, AM",7/6/2016,8/4/2016,SFSP,CLOSED
LA MESA-SPRING VALLEY SCHOOL DISTRICT,AVONDALE ELEMENTARY,8401 STANSBURY ST.,SPRING VALLEY,CA,91977-3737,JILL WHITTENBERG,619-668-5764,"L, PM",3/21/2016,4/1/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,BANCROFT ELEMENTARY,8805 TYLER ST.,SPRING VALLEY,CA,91977-3336,JILL WHITTENBERG,619-668-5764,"L, PM",6/20/2016,8/12/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,CASA DE ORO ELEMENTARY,10227 RAMONA DR.,SPRING VALLEY,CA,91977-1720,JILL WHITTENBERG,619-668-5764,"L, PM",3/21/2016,4/1/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,HIGHLANDS ELEMENTARY,3131 SOUTH BARCELONA ST.,SPRING VALLEY,CA,91977-3003,JILL WHITTENBERG,619-668-5764,"L, PM",3/21/2016,4/1/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,KEMPTON STREET LITERACY ACADEMY,740 KEMPTON ST.,SPRING VALLEY,CA,91977-5017,JILL WHITTENBERG,619-668-5764,"L, PM",10/5/2015,10/16/2015,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,LA MESA DALE ELEMENTARY,4370 PARKS AVE.,LA MESA,CA,91941-5214,JILL WHITTENBERG,619-668-5764,"L, PM",3/21/2016,4/1/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,LA PRESA ELEMENTARY,519 LA PRESA ST.,SPRING VALLEY,CA,91977-6011,JILL WHITTENBERG,619-668-5764,"L, PM",6/20/2016,8/12/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,LEMON AVENUE ELEMENTARY,8787 LEMON AVE.,LA MESA,CA,91941-5214,JILL WHITTENBERG,619-668-5764,"L, PM",10/5/2015,10/16/2015,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,LOMA ELEMENTARY,10355 LOMA LN.,SPRING VALLEY,CA,91978-1517,JILL WHITTENBERG,619-668-5764,"L, PM",10/5/2015,10/16/2015,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,MARYLAND AVENUE ELEMENTARY,5400 MARYLAND AVE.,LA MESA,CA,91941-5214,JILL WHITTENBERG,619-668-5764,"L, PM",10/5/2015,10/16/2015,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,MURDOCK ELEMENTARY,4354 CONRAD DR.,LA MESA,CA,91941-5214,JILL WHITTENBERG,619-668-5764,"L, PM",6/20/2016,8/12/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,ROLANDO ELEMENTARY,6925 TOWER ST.,LA MESA,CA,91941-5214,JILL WHITTENBERG,619-668-5764,"L, PM",6/20/2016,8/12/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,SPRING VALLEY COMMUNITY CENTER,8735 JAMACHA BLVD,SPRING VALLEY,CA,91977,JILL WHITTENBERG,619-668-5764,"B, L",6/20/2016,8/12/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,SPRING VALLEY LIBRARY,836 KEMPTON STREET,SPRING VALLEY,CA,91977,JILL WHITTENBERG,619-668-5764,"B, L",6/20/2016,8/12/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,SPRING VALLEY MIDDLE,3900 CONRAD DR.,SPRING VALLEY,CA,91977-1437,JILL WHITTENBERG,619-668-5764,"L, PM",6/20/2016,8/12/2016,SSFO,OPEN
LA MESA-SPRING VALLEY SCHOOL DISTRICT,SWEETWATER SPRINGS ELEMENTARY,10129 AUSTIN DR.,SPRING VALLEY,CA,91977-6903,JILL WHITTENBERG,619-668-5764,"L, PM",6/20/2016,8/12/2016,SSFO,OPEN
LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT,LINDO PARK ELEMENTARY,12824 LAKESHORE DR.,LAKESIDE,CA,92040-0578,SALLY SPERO,619-390-2600 #2550 #25,"B, L",6/23/2016,8/26/2016,SSFO,OPEN
LEMON GROVE SCHOOL DISTRICT,LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIES,7866 LINCOLN ST.,LEMON GROVE,CA,91945-2542,HOLLY BAUER,619-825-5693,L,6/20/2016,7/15/2016,SSFO,OPEN
LEMON GROVE SCHOOL DISTRICT,SAN ALTOS ELEMENTARY,1750 MADERA ST.,LEMON GROVE,CA,91945-2515,HOLLY BAUER,619-825-5693,L,6/20/2016,7/15/2016,SSFO,OPEN
LEMON GROVE SCHOOL DISTRICT,VISTA LA MESA ACADEMY,3900 VIOLET ST.,LA MESA,CA,91941-7542,HOLLY BAUER,619-825-5693,L,6/13/2016,7/1/2016,SSFO,OPEN
MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT,CAMPO ELEMENTARY,1654 BUCKMAN SPRINGS RD.,CAMPO,CA,91906-2004,DOROTHY HASKINS,619-473-9022 #125 #125,L,6/27/2016,7/22/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,ABBY REINKE YOUTH CENTER,BLDG. 201019,CAMP PENDLETON,CA,92055,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,8/5/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,BOYS/GIRLS CLUB COUNTRY CLUB LANE,401 COUNTRY CLUB LANE,OCEANSIDE,CA,92054,NAOMI SHADWELL,760-966-4045,"L, PM",6/6/2016,8/11/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,CLAIR W. BURGENER ACADEMY,707 CAREY RD.,OCEANSIDE,CA,92058-2311,NAOMI SHADWELL,760-966-4045,"B, L",7/5/2016,8/2/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,CROWN HEIGHTS RESOURCE CENTER,1210 DIVISION STREET,OCEANSIDE,CA,92054,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,8/11/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,DEL RIO ELEMENTARY,5200 NORTH RIVER RD.,OCEANSIDE,CA,92057-3811,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/1/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,E. G. GARRISON ELEMENTARY,333 GARRISON DR.,OCEANSIDE,CA,92054-4733,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/1/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,EL CAMINO HIGH,400 RANCHO DEL ORO DR.,OCEANSIDE,CA,92057-8316,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,6/30/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,FIRESIDE PARK,FIRESIDE DRIVE & PARKSIDE STREET,OCEANSIDE,CA,92054,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,8/11/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,LAUREL ELEMENTARY,1410 LAUREL ST.,OCEANSIDE,CA,92058-2217,NAOMI SHADWELL,760-966-4045,"B, L",7/6/2016,8/2/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,LIBBY ELEMENTARY,423 WEST REDONDO DR.,OCEANSIDE,CA,92057-4316,NAOMI SHADWELL,760-966-4045,L,7/5/2016,8/11/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,LIBBY LAKE PARK,424 CALLE MONTECITO,OCEANSIDE,CA,92054,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,8/11/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,LOUISE FOUSSAT ELEMENTARY,3800 PALA RD.,OCEANSIDE,CA,92058-0678,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/1/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,MELBA BISHOP RECREATION CENTER,5306 N RIVER RD,OCEANSIDE,CA,92054,NAOMI SHADWELL,760-966-4045,"B, L",7/5/2016,8/11/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,MISSION ELEMENTARY,2100 MISSION AVE.,OCEANSIDE,CA,92058-2327,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/1/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,NICHOLS ELEMENTARY,4250 OLD GROVE RD.,OCEANSIDE,CA,92057-6539,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/1/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,NORTH TERRACE ELEMENTARY,141 SANTA ROSA DR.,OCEANSIDE,CA,92058-6880,NAOMI SHADWELL,760-966-4045,"B, L",6/20/2016,7/14/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,OCEANSIDE HIGH,1 PIRATES COVE WAY,OCEANSIDE,CA,92054-3066,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/14/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,PALMQUIST ELEMENTARY,1999 CALIFORNIA ST.,OCEANSIDE,CA,92054-5685,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/1/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,REYNOLDS ELEMENTARY,4575 DOUGLAS DR.,OCEANSIDE,CA,92057-4228,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/1/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,SAN LUIS REY ELEMENTARY,3535 HACIENDA DR.,OCEANSIDE,CA,92054-3854,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/1/2016,SSFO,OPEN
OCEANSIDE UNIFIED SCHOOL DISTRICT,SOUTH OCEANSIDE ELEMENTARY,1806 SOUTH HORNE ST.,OCEANSIDE,CA,92054-6017,NAOMI SHADWELL,760-966-4045,"B, L",6/6/2016,7/1/2016,SSFO,OPEN
RAMONA CITY UNIFIED SCHOOL DISTRICT,RAMONA ELEMENTARY,415 EIGHTH ST.,RAMONA,CA,92065-2346,KATI HARBOUR,760-787-2048,L,6/13/2016,7/15/2016,SSFO,OPEN
RAMONA CITY UNIFIED SCHOOL DISTRICT,RAMONA HIGH,1401 HANSON LN.,RAMONA,CA,92065-3304,KATI HARBOUR,760-787-2048,L,6/13/2016,7/15/2016,SSFO,OPEN
SALVATION ARMY-SAN DIEGO A CALIFORNIA CORPORATION,SALVATION ARMY KROC CENTER,6605 UNIVERSITY AVENUE,SAN DIEGO,CA,92115,LAUREN LA BELLA,619-269-1523,L,6/20/2016,8/26/2016,SFSP,OPEN
SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION,SDSU UPWARD BOUND,5500 CAMPANILE DR.,SAN DIEGO,CA,92182,TOMASA MAURICIO,619-594-1899,"B, L, S",6/11/2016,7/22/2016,SFSP,CAMP
SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION,SDSU UPWARD BOUND STAR,5500 CAMPANILE DR.,SAN DIEGO,CA,92182,TOMASA MAURICIO,619-594-1899,"B, L, S",6/11/2016,7/22/2016,SFSP,CAMP
SAN DIEGO UNIFIED SCHOOL DISTRICT,ADAMS REC CENTER,3491 ADAMS AVENUE,SAN DIEGO,CA,92116,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,ADMIRAL HARTMAN CYP,4649 DONALDSON DRIVE,SAN DIEGO,CA,92109,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,ALLIED GARDENS PARK & REC,5155 GREENBRIER AVENUE,SAN DIEGO,CA,92120,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,AZELEA REC CENTER,2596 VIOLET STREET,SAN DIEGO,CA,92105,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,BALBOA MORLEY FIELD SPORTS COMPLEX,2221 MORLEY FIELD DRIVE,SAN DIEGO,CA,92101,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,BAME CDC,138 28TH STREET,SAN DIEGO,CA,92102,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,BAY VIEW CYP,1876 SKY HARBOR ROAD,SAN DIEGO,CA,92139,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,BAYSIDE COMMUNITY CENTER,2202 COMSTOCK STREET,SAN DIEGO,CA,92111,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,BELL MIDDLE,620 BRIARWOOD RD.,SAN DIEGO,CA,92139-1399,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,7/22/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,BURBANK ELEMENTARY,2146 JULIAN AVE.,SAN DIEGO,CA,92113-1237,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,CABRILLO CYP,8420 1/2 KRENZ STREET,SAN DIEGO,CA,92123,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,CADMAN RECREATION CENTER,4280 AVATI DRIVE,SAN DIEGO,CA,92117,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,7/27/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,CENTRAL LIBRARY,330 PARK BLVD,SAN DIEGO,CA,92101,JENNIFER MARRONE,858-627-7332,L,6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,CHEROKEE POINT ELEMENTARY,3735 38TH ST.,SAN DIEGO,CA,92105-2414,JENNIFER MARRONE,858-627-7332,"B, L",7/25/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,CHESTERTON CYP,7427 LINDA VISTA ROAD,SAN DIEGO,CA,92111,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,CHOLLAS LAKE PARK & RECREATION CENTER,6350 COLLEGE GROVE DRIVE,SAN DIEGO,CA,92105,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,CHOLLAS/MEAD ELEMENTARY,401 NORTH 45TH ST.,SAN DIEGO,CA,92102-4732,JENNIFER MARRONE,858-627-7332 #7332 #73,"B, L",6/27/2016,7/29/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,CITY HEIGHTS REC CENTER,4380 LANDIS STREET,SAN DIEGO,CA,92105,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,COLINA DEL SOL PARK & REC,5319 ORANGE AVE.,SAN DIEGO,CA,92115,JENNIFER MARRONE,858-627-7332,L,7/25/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,COPLEY YMCA,4300 EL CAJON BLVD,SAN DIEGO,CA,92105,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,CROWN POINT ELEMENTARY,4033 INGRAHAM ST.,SAN DIEGO,CA,92109-5946,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,7/22/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,ENCANTO REC CENTER,6508 WUNDERLIN AVENUE,SAN DIEGO,CA,92114,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,FARB MIDDLE,4880 LA CUENTA DR.,SAN DIEGO,CA,92124-3015,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,7/22/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,FAY ELEMENTARY,4080 52ND ST.,SAN DIEGO,CA,92105-2209,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,FLORENCE ELEMENTARY,3914 FIRST AVE.,SAN DIEGO,CA,92103-3089,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,7/22/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,FRANKLIN ELEMENTARY,4481 COPELAND AVE.,SAN DIEGO,CA,92116-4802,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,7/22/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,FULTON K-8,7055 SKYLINE DR.,SAN DIEGO,CA,92114-5930,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,7/22/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,GARFIELD ELEMENTARY,4487 OREGON ST.,SAN DIEGO,CA,92116-3018,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,GATEWAY CYP,6735 GIFFORD WAY,SAN DIEGO,CA,92110,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,GOLDEN HILL K-8,1240 33RD ST.,SAN DIEGO,CA,92102-2409,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,GOLDEN HILL RECREATION CENTER,2600 GOLF COURSE DRIVE,SAN DIEGO,CA,92102,JENNIFER MARRONE,858-627-7332,"L, PM",7/25/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,HOOVER HIGH,4474 EL CAJON BLVD.,SAN DIEGO,CA,92115-4312,JENNIFER MARRONE,858-627-7332,"B, L",6/27/2016,8/5/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,JACKIE ROBINSON YMCA,151 YMCA WAY,SAN DIEGO,CA,92105,JENNIFER MARRONE,858-627-7332,"L, PM",1/4/2016,1/15/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,JOHNSON ELEMENTARY,1355 KELTON RD.,SAN DIEGO,CA,92114-1229,JENNIFER MARRONE,858-627-7332,"B, L",6/27/2016,7/29/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,KEARNY MESA PARK & REC,3170 ARMSTRONG STREET,SAN DIEGO,CA,92111,JENNIFER MARRONE,858-627-7332,"L, PM",6/27/2016,8/19/2016,SSFO,OPEN
SAN DIEGO UNIFIED SCHOOL DISTRICT,KIMBROUGH ELEMENTARY,321 HOITT ST.,SAN DIEGO,CA,92102-3132,JENNIFER MARRONE,858-627-7332,"B, L",7/25/2016,8/19/2016,SSFO,CLOSED
SAN DIEGO UNIFIED SCHOOL DISTRICT,KING-CHAVEZ ACADEMY OF EXCELLENCE,2850 LOGAN AVE.,SAN DIEGO,CA,92113-2412,JENNIFER MARRONE,858-627-7332,"B, L",6/27/2016,7/15/2016,SSFO,OPEN
