"no_match.sitename","alt_names","sponsors","district","is_school","school_code","district_code"
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE MONTESSORI ACADEMY","BELLA MENTE CHARTER SCHOOL",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL ELEMENTARY","BONSALL ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"BONSALL WEST ELEMENTARY","BONSALL WEST ELEMENTARY","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"NORMAN L. SULLIVAN MIDDLE","NORMAN L. SULLIVAN MIDDLE","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"VIVIAN BANKS CHARTER","VIVIAN BANKS CHARTER","BONSALL UNIFIED",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"BOSTONIA LANGUAGE ACADEMY","BOSTONIA LANGUAGE ACADEMY","CAJON VALLEY UNION",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VISTA SQUARE ELEMENTARY","VISTA SQUARE ELEMENTARY","CHULA VISTA ELEMENTARY",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
"VALLECITOS ELEMENTARY SCHOOL DISTRICT","VALLECITOS ELEMENTARY SCHOOL DISTRICT","FALLBROOK UNION HIGH",NA,NA,NA,NA
