sponsorname,altname,is_district
ALL ABOUT KIDS PRESCHOOL,ALL ABOUT KIDS PRESCHOOL,FALSE
AMERICARE ADHC INC ,AMERICARE ADHC INC ,FALSE
ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER ,ASSOC STUDENTS CSU SAN DIEGO CHILDRENS CENTER ,FALSE
BOYS & GIRLS CLUB OF IMPERIAL BEACH ,BOYS & GIRLS CLUB OF IMPERIAL BEACH ,FALSE
CA RELIABLE MEDICAL SYSTEMS INC ,CA RELIABLE MEDICAL SYSTEMS INC ,FALSE
CHILD DEVELOPMENT ASSOC INC ,CHILD DEVELOPMENT ASSOC INC ,FALSE
CHILD NUTRITION PROGRAM OF SOUTHERN CALIFORNIA INC ,CHILD NUTRITION PROGRAM OF SOUTHERN CALIFORNIA INC ,FALSE
CHRIST GOSPEL TABERNACLE INC,CHRIST GOSPEL TABERNACLE INC,FALSE
CLAIREMONT VILLA ADHC INC ,CLAIREMONT VILLA ADHC INC ,FALSE
CORONADO BAPTIST CHURCH,CORONADO BAPTIST CHURCH,FALSE
EDUCATIONAL ENRICHMENT SYSTEMS INC ,EDUCATIONAL ENRICHMENT SYSTEMS INC ,FALSE
EL CAJON WESLEYAN CHURCH ,EL CAJON WESLEYAN CHURCH ,FALSE
EPISCOPAL COMMUNITY SERVICES ,EPISCOPAL COMMUNITY SERVICES ,FALSE
FALLBROOK CHILD DEVELOP CENTER ,FALLBROOK CHILD DEVELOP CENTER ,FALSE
GARDEN DAY SCHOOL,GARDEN DAY SCHOOL,FALSE
GIGGLES & SMILES CHILD CARE CENTER  ,GIGGLES & SMILES CHILD CARE CENTER  ,FALSE
GROSSMONT CUYAMACA COMMUNITY COLLEGE DISTRICT ,GROSSMONT CUYAMACA COMMUNITY COLLEGE DISTRICT ,FALSE
GSCA INC ,GSCA INC ,FALSE
HEALTHY SOLUTIONS FOR PARENTS,HEALTHY SOLUTIONS FOR PARENTS,FALSE
HORIZONS ADHC CENTER INC,HORIZONS ADHC CENTER INC,FALSE
LINERS CORP ,LINERS CORP ,FALSE
LITTLE BEARS DAYCARE INC,LITTLE BEARS DAYCARE INC,FALSE
LOVING CARE ADHC LIMITED ,LOVING CARE ADHC LIMITED ,FALSE
MARTHA'S VILLAGE & KITCHEN INC ,MARTHA'S VILLAGE & KITCHEN INC ,FALSE
NEIGHBORHOOD HOUSE ASSOCIATION ,NEIGHBORHOOD HOUSE ASSOCIATION ,FALSE
NORTH COUNTY COMMUNITY SERVICE ,NORTH COUNTY COMMUNITY SERVICE ,FALSE
NORTH COUNTY SERENITY HOUSE INC ,NORTH COUNTY SERENITY HOUSE INC ,FALSE
PEPPERTREE MONTESSORI INC ,PEPPERTREE MONTESSORI INC ,FALSE
POWAY ADHC CENTER ,POWAY ADHC CENTER ,FALSE
QUALITY CHILDREN'S SERVICES ,QUALITY CHILDREN'S SERVICES ,FALSE
RAMONA SENIOR CARE INC ,RAMONA SENIOR CARE INC ,FALSE
RISING STAR ACAD CHILDCARE CTR,RISING STAR ACAD CHILDCARE CTR,FALSE
SAN DIEGO COMMUNITY COLL DIST ,SAN DIEGO COMMUNITY COLL DIST ,FALSE
TODDLER TOWN LLC ,TODDLER TOWN LLC ,FALSE
VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,VOLUNTEERS OF AMERICA SOUTHWEST CA CORP,FALSE
YWCA OF SAN DIEGO COUNTY,YWCA OF SAN DIEGO COUNTY,FALSE
AMISTAD CRISTIANA,AMISTAD CRISTIANA,FALSE
CHILDRENS CHOICE LEARNING,CHILDRENS CHOICE LEARNING,FALSE
JENNIFER HOUSE,JENNIFER HOUSE,FALSE
LOGAN HEIGHTS COMM DEV CORP,LOGAN HEIGHTS COMM DEV CORP,FALSE
OCEANSIDE SHINING STARS PRESCH,OCEANSIDE SHINING STARS PRESCH,FALSE
PILGRIM UNITED CHURCH OF,PILGRIM UNITED CHURCH OF,FALSE
"POWAY ADHC CENTER, LLC","POWAY ADHC CENTER, LLC",FALSE
READY SET GROW LEARNING CENTER,READY SET GROW LEARNING CENTER,FALSE